,Year,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,pop2010,acs_2018_2,State,fmr_type,fmr_pct_chg,fmr_dollar_chg
0,2019,581,696,825,1043,1436,Autauga County,54571,829,AL,50,-0.00482509,-4
1,2019,756,773,888,1252,1501,Baldwin County,182265,879,AL,50,0.010238908,9
2,2019,500,503,666,838,941,Barbour County,27457,657,AL,50,0.01369863,9
3,2019,706,763,873,1154,1282,Bibb County,22915,882,AL,50,-0.010204082,-9
4,2019,706,763,873,1154,1282,Blount County,57322,882,AL,50,-0.010204082,-9
5,2019,492,501,628,832,887,Bullock County,10914,606,AL,50,0.03630363,22
6,2019,473,476,628,814,1103,Butler County,20947,606,AL,50,0.03630363,22
7,2019,457,513,676,886,1031,Calhoun County,118572,679,AL,50,-0.004418262,-3
8,2019,467,579,691,868,958,Chambers County,34215,676,AL,50,0.022189349,15
9,2019,472,475,628,846,849,Cherokee County,25989,606,AL,50,0.03630363,22
10,2019,517,549,628,908,1103,Chilton County,43643,633,AL,50,-0.007898894,-5
11,2019,498,501,663,831,937,Choctaw County,13859,677,AL,50,-0.020679468,-14
12,2019,492,538,628,908,927,Clarke County,25833,606,AL,50,0.03630363,22
13,2019,535,549,628,908,1103,Clay County,13932,606,AL,50,0.03630363,22
14,2019,472,475,628,824,1103,Cleburne County,14972,633,AL,50,-0.007898894,-5
15,2019,555,558,680,983,1194,Coffee County,49948,619,AL,50,0.098546042,61
16,2019,531,534,675,888,1130,Colbert County,54428,669,AL,50,0.00896861,6
17,2019,474,478,628,884,887,Conecuh County,13228,606,AL,50,0.03630363,22
18,2019,508,511,676,857,955,Coosa County,11539,630,AL,50,0.073015873,46
19,2019,485,488,628,842,1093,Covington County,37765,606,AL,50,0.03630363,22
20,2019,472,475,628,787,966,Crenshaw County,13906,606,AL,50,0.03630363,22
21,2019,497,535,662,892,895,Cullman County,80406,619,AL,50,0.069466882,43
22,2019,477,501,629,850,1105,Dale County,50251,614,AL,50,0.024429967,15
23,2019,507,524,628,812,890,Dallas County,43820,606,AL,50,0.03630363,22
24,2019,484,487,646,833,891,DeKalb County,71109,717,AL,50,-0.09902371,-71
25,2019,581,696,825,1043,1436,Elmore County,79303,829,AL,50,-0.00482509,-4
26,2019,492,549,628,838,860,Escambia County,38319,606,AL,50,0.03630363,22
27,2019,497,500,662,836,969,Etowah County,104430,661,AL,50,0.001512859,1
28,2019,492,549,628,841,887,Fayette County,17241,606,AL,50,0.03630363,22
29,2019,492,543,628,787,849,Franklin County,31704,606,AL,50,0.03630363,22
30,2019,515,519,682,906,1047,Geneva County,26790,695,AL,50,-0.018705036,-13
31,2019,492,549,628,884,887,Greene County,9045,606,AL,50,0.03630363,22
32,2019,658,705,847,1092,1145,Hale County,15760,805,AL,50,0.052173913,42
33,2019,493,549,628,802,1103,Henry County,17302,636,AL,50,-0.012578616,-8
34,2019,515,519,682,906,1047,Houston County,101547,695,AL,50,-0.018705036,-13
35,2019,438,576,681,853,921,Jackson County,53227,625,AL,50,0.0896,56
36,2019,706,763,873,1154,1282,Jefferson County,658466,882,AL,50,-0.010204082,-9
37,2019,492,546,628,908,940,Lamar County,14564,606,AL,50,0.03630363,22
38,2019,531,534,675,888,1130,Lauderdale County,92709,669,AL,50,0.00896861,6
39,2019,448,528,681,879,935,Lawrence County,34339,669,AL,50,0.01793722,12
40,2019,547,627,814,1083,1285,Lee County,140247,827,AL,50,-0.015719468,-13
41,2019,586,685,809,1084,1421,Limestone County,82782,717,AL,50,0.128312413,92
42,2019,581,696,825,1043,1436,Lowndes County,11299,829,AL,50,-0.00482509,-4
43,2019,472,475,628,852,1072,Macon County,21452,606,AL,50,0.03630363,22
44,2019,586,685,809,1084,1421,Madison County,334811,717,AL,50,0.128312413,92
45,2019,492,539,628,908,1103,Marengo County,21027,606,AL,50,0.03630363,22
46,2019,472,475,628,844,1056,Marion County,30776,606,AL,50,0.03630363,22
47,2019,483,486,643,866,869,Marshall County,93019,623,AL,50,0.032102729,20
48,2019,677,681,848,1122,1274,Mobile County,412992,840,AL,50,0.00952381,8
49,2019,492,549,628,787,892,Monroe County,23068,606,AL,50,0.03630363,22
