,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,State
3882,651,761,880,1157,1268,DeWitt County,20475,TX
3883,560,600,757,998,1105,Dickens County,2225,TX
3884,580,596,784,1034,1145,Dimmit County,10820,TX
3885,560,575,757,1014,1105,Donley County,3435,TX
3886,560,600,757,1060,1064,Duval County,11435,TX
3887,503,664,757,936,1027,Eastland County,18280,TX
3888,884,934,1229,1519,1771,Ector County,155745,TX
3889,608,652,822,1084,1200,Edwards County,2110,TX
3890,1076,1150,1362,1736,2280,Ellis County,164090,TX
3891,558,701,840,1174,1438,El Paso County,834825,TX
3892,717,722,875,1182,1187,Erath County,41015,TX
3893,556,633,757,1075,1296,Falls County,17290,TX
3894,607,623,820,1165,1235,Fannin County,33785,TX
3895,624,641,843,1139,1143,Fayette County,24965,TX
3896,560,600,757,1021,1105,Fisher County,3875,TX
3897,609,625,823,1017,1202,Floyd County,5955,TX
3898,608,652,822,1084,1200,Foard County,1415,TX
3899,944,1014,1208,1603,2058,Fort Bend County,711420,TX
3900,639,661,864,1094,1314,Franklin County,10640,TX
3901,560,575,757,1024,1144,Freestone County,19645,TX
3902,636,754,859,1153,1254,Frio County,19110,TX
3903,560,600,757,1054,1105,Gaines County,19890,TX
3904,944,1014,1208,1603,2058,Galveston County,321185,TX
3905,588,630,795,984,1224,Garza County,6740,TX
3906,760,765,1007,1430,1559,Gillespie County,25940,TX
3907,608,652,822,1084,1200,Glasscock County,1420,TX
3908,788,861,1068,1367,1563,Goliad County,7510,TX
3909,641,662,789,1121,1152,Gonzales County,20560,TX
3910,574,654,861,1067,1168,Gray County,22960,TX
3911,661,830,985,1316,1570,Grayson County,126145,TX
3912,687,786,924,1276,1467,Gregg County,123400,TX
3913,603,619,815,1007,1105,Grimes County,27360,TX
3914,815,961,1165,1500,1849,Guadalupe County,150890,TX
3915,560,660,757,1075,1296,Hale County,34525,TX
3916,560,576,757,1003,1105,Hall County,3100,TX
3917,576,683,778,962,1055,Hamilton County,8220,TX
3918,662,703,895,1106,1307,Hansford County,5530,TX
3919,560,575,757,1022,1105,Hardeman County,3990,TX
3920,747,798,982,1281,1332,Hardin County,55995,TX
3921,944,1014,1208,1603,2058,Harris County,4525520,TX
3922,630,712,899,1112,1219,Harrison County,66605,TX
3923,717,768,969,1309,1314,Hartley County,5820,TX
3924,560,664,757,1075,1105,Haskell County,5805,TX
3925,1092,1236,1451,1867,2194,Hays County,194845,TX
3926,735,755,993,1227,1450,Hemphill County,4150,TX
3927,628,632,832,1082,1201,Henderson County,79685,TX
3928,633,637,817,1062,1176,Hidalgo County,839540,TX
3929,538,635,810,1070,1098,Hill County,35100,TX
3930,560,664,757,1075,1296,Hockley County,23275,TX
3931,833,881,1046,1293,1527,Hood County,55420,TX
