,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,State
0,643,764,914,1156,1494,Autauga County,55035,AL
1,772,777,1017,1348,1715,Baldwin County,203360,AL
2,532,536,705,871,980,Barbour County,26200,AL
3,765,820,943,1220,1316,Bibb County,22580,AL
4,765,820,943,1220,1316,Blount County,57665,AL
5,589,602,783,968,1158,Bullock County,10480,AL
6,530,619,705,871,1043,Butler County,20125,AL
7,562,565,744,988,1111,Calhoun County,115525,AL
8,655,659,861,1074,1168,Chambers County,33895,AL
9,530,536,705,982,1006,Cherokee County,25855,AL
10,583,619,705,978,982,Chilton County,43805,AL
11,530,536,705,871,1182,Choctaw County,13190,AL
12,530,550,705,1001,1207,Clarke County,24625,AL
13,495,609,705,961,1120,Clay County,13405,AL
14,530,564,705,974,1043,Cleburne County,14940,AL
15,546,586,727,1033,1154,Coffee County,51075,AL
16,525,575,751,935,1173,Colbert County,54435,AL
17,530,619,705,982,1043,Conecuh County,12650,AL
18,550,563,732,905,1083,Coosa County,10955,AL
19,530,536,705,929,1145,Covington County,37520,AL
20,530,536,705,871,1043,Crenshaw County,13865,AL
21,559,607,747,1009,1013,Cullman County,81705,AL
22,595,599,705,1001,1207,Dale County,49395,AL
23,529,561,738,912,1001,Dallas County,40755,AL
24,468,555,705,953,1054,DeKalb County,71195,AL
25,643,764,914,1156,1494,Elmore County,80990,AL
26,530,573,705,883,1160,Escambia County,37620,AL
27,547,580,710,894,970,Etowah County,103130,AL
28,530,609,705,871,1043,Fayette County,16655,AL
29,530,588,705,871,1171,Franklin County,31505,AL
30,561,565,705,929,1043,Geneva County,26570,AL
31,562,565,705,871,956,Greene County,8535,AL
32,758,762,927,1162,1257,Hale County,14995,AL
33,540,543,705,931,1112,Henry County,17110,AL
34,561,565,705,929,1043,Houston County,104110,AL
35,530,595,705,871,1043,Jackson County,52325,AL
36,765,820,943,1220,1316,Jefferson County,659460,AL
37,530,589,705,915,956,Lamar County,14020,AL
38,525,575,751,935,1173,Lauderdale County,92590,AL
39,554,592,720,946,1009,Lawrence County,33290,AL
40,672,706,924,1222,1383,Lee County,156595,AL
41,647,757,897,1189,1428,Limestone County,91695,AL
42,643,764,914,1156,1494,Lowndes County,10360,AL
43,546,552,726,915,1243,Macon County,19360,AL
44,647,757,897,1189,1428,Madison County,353215,AL
45,530,619,705,906,1043,Marengo County,19745,AL
46,530,536,705,932,1206,Marion County,30060,AL
47,550,553,715,957,970,Marshall County,94740,AL
48,662,690,861,1148,1244,Mobile County,414330,AL
49,530,619,705,922,1040,Monroe County,21745,AL
50,643,764,914,1156,1494,Montgomery County,227120,AL
51,554,592,720,946,1009,Morgan County,119155,AL
52,540,630,718,888,1062,Perry County,9680,AL
53,535,538,705,952,956,Pickens County,20170,AL
54,634,666,843,1051,1247,Pike County,33285,AL
55,530,619,705,953,956,Randolph County,22530,AL
56,654,724,827,1122,1415,Russell County,58480,AL
57,765,820,943,1220,1316,St. Clair County,86935,AL
58,765,820,943,1220,1316,Shelby County,208720,AL
59,637,652,848,1048,1150,Sumter County,13085,AL
60,553,557,733,966,1081,Talladega County,80890,AL
61,527,545,717,981,1181,Tallapoosa County,40755,AL
62,758,762,927,1162,1257,Tuscaloosa County,204425,AL
63,530,536,705,900,956,Walker County,64925,AL
64,543,566,705,901,956,Washington County,16745,AL
65,573,587,763,943,1035,Wilcox County,10920,AL
66,530,536,705,980,984,Winston County,23970,AL
67,810,885,1165,1440,1747,Aleutians East Borough,3340,AK
68,1097,1255,1651,2041,2476,Aleutians West Census Area,5785,AK
69,877,948,1248,1773,2136,Anchorage Municipality,298225,AK
70,1242,1362,1698,2099,2547,Bethel Census Area,17955,AK
71,685,749,985,1399,1494,Bristol Bay Borough,915,AK
72,1016,1110,1461,1806,2191,Denali Borough,2305,AK
73,858,943,1234,1532,1673,Dillingham Census Area,4975,AK
74,877,1003,1320,1875,2259,Fairbanks North Star Borough,100030,AK
75,732,800,1053,1302,1579,Haines Borough,2535,AK
76,786,859,1130,1397,1532,Hoonah-Angoon Census Area,2145,AK
77,958,1154,1442,2048,2432,Juneau City and Borough,32435,AK
78,815,820,1072,1507,1662,Kenai Peninsula Borough,57960,AK
79,886,1014,1334,1777,2268,Ketchikan Gateway Borough,13745,AK
80,1042,1192,1568,1938,2402,Kodiak Island Borough,13775,AK
81,604,660,868,1073,1302,Kusilvak Census Area,8130,AK
82,574,680,825,1161,1287,Lake and Peninsula Borough,1300,AK
83,744,789,1035,1470,1772,Matanuska-Susitna Borough,101135,AK
84,1190,1197,1501,2028,2035,Nome Census Area,9870,AK
85,1074,1224,1611,1991,2185,North Slope Borough,9755,AK
86,1015,1161,1528,2064,2072,Northwest Arctic Borough,7715,AK
87,831,919,1195,1477,1995,Petersburg Borough,3275,AK
88,744,796,1016,1256,1378,Prince of Wales-Hyder Census Area,6475,AK
89,907,1040,1229,1715,2009,Sitka City and Borough,8810,AK
90,919,1060,1313,1623,1969,Skagway Municipality,1040,AK
91,927,933,1228,1744,1955,Southeast Fairbanks Census Area,6890,AK
92,764,987,1150,1422,1968,Valdez-Cordova Census Area,9440,AK
93,668,717,944,1321,1416,Wrangell City and Borough,2475,AK
94,833,910,1198,1481,1797,Yakutat City and Borough,680,AK
95,594,750,855,1215,1282,Yukon-Koyukuk Census Area,5455,AK
96,567,653,854,1121,1204,Apache County,71600,AZ
97,686,690,907,1288,1552,Cochise County,126515,AZ
98,1138,1166,1474,1868,2245,Coconino County,138640,AZ
99,780,785,1033,1416,1421,Gila County,53145,AZ
100,821,824,957,1359,1517,Graham County,37700,AZ
101,573,752,857,1069,1201,Greenlee County,9370,AZ
102,710,808,1063,1446,1523,La Paz County,20475,AZ
103,1005,1091,1311,1825,2078,Maricopa County,4155500,AZ
104,667,766,969,1364,1539,Mohave County,204690,AZ
105,633,715,941,1237,1307,Navajo County,107900,AZ
106,665,761,1001,1422,1685,Pima County,1007255,AZ
107,1005,1091,1311,1825,2078,Pinal County,405535,AZ
108,574,643,846,1143,1147,Santa Cruz County,46360,AZ
109,733,894,1103,1537,1724,Yavapai County,220970,AZ
110,725,736,968,1375,1657,Yuma County,204280,AZ
111,514,527,694,858,941,Arkansas County,18350,AR
112,481,570,649,819,1052,Ashley County,20770,AR
113,525,547,709,876,978,Baxter County,41095,AR
114,658,695,865,1229,1481,Benton County,251825,AR
115,481,569,649,922,951,Boone County,37210,AR
116,481,511,649,874,1111,Bradley County,10995,AR
117,549,563,741,916,1060,Calhoun County,5195,AR
118,443,507,667,825,905,Carroll County,27780,AR
119,522,525,649,907,1066,Chicot County,11010,AR
120,484,570,649,891,1024,Clark County,22495,AR
121,490,493,649,802,1061,Clay County,15190,AR
122,523,537,706,873,957,Cleburne County,25360,AR
123,563,578,760,950,1097,Cleveland County,8330,AR
124,490,493,649,876,914,Columbia County,23990,AR
125,481,493,649,898,1038,Conway County,20955,AR
126,553,648,832,1078,1390,Craighead County,104245,AR
127,559,562,740,1031,1165,Crawford County,62120,AR
128,694,792,912,1219,1404,Crittenden County,49280,AR
129,519,532,700,926,1198,Cross County,17165,AR
130,481,493,649,922,928,Dallas County,7585,AR
131,481,499,649,870,1084,Desha County,12095,AR
132,494,507,667,847,954,Drew County,18620,AR
133,706,728,833,1118,1330,Faulkner County,121280,AR
134,505,547,649,806,1015,Franklin County,17805,AR
135,432,493,649,877,1111,Fulton County,12090,AR
136,589,613,807,1006,1352,Garland County,97995,AR
137,627,647,739,923,1002,Grant County,18075,AR
138,513,607,692,983,1056,Greene County,44195,AR
139,516,530,697,867,1131,Hempstead County,22155,AR
140,478,511,672,881,1109,Hot Spring County,33480,AR
141,456,536,649,816,880,Howard County,13470,AR
142,481,493,649,823,880,Independence County,37095,AR
143,481,493,649,837,880,Izard County,13520,AR
144,490,493,649,802,928,Jackson County,17430,AR
145,563,578,760,950,1097,Jefferson County,71375,AR
146,493,505,665,883,902,Johnson County,26155,AR
147,481,493,649,808,928,Lafayette County,7050,AR
148,481,493,649,849,1007,Lawrence County,16775,AR
149,481,493,649,922,928,Lee County,9615,AR
150,563,578,760,950,1097,Lincoln County,13885,AR
151,490,493,649,922,1111,Little River County,12495,AR
152,444,570,649,894,899,Logan County,21800,AR
153,706,728,833,1118,1330,Lonoke County,71570,AR
154,658,695,865,1229,1481,Madison County,15905,AR
155,482,495,651,805,917,Marion County,16375,AR
156,669,670,838,1046,1344,Miller County,43760,AR
157,476,505,649,850,880,Mississippi County,43535,AR
158,432,493,649,881,884,Monroe County,7420,AR
159,481,570,649,916,1111,Montgomery County,9060,AR
160,536,550,724,895,1035,Nevada County,8530,AR
161,481,493,649,862,928,Newton County,7900,AR
162,560,567,649,877,880,Ouachita County,24380,AR
163,706,728,833,1118,1330,Perry County,10320,AR
164,432,493,649,920,1111,Phillips County,19520,AR
165,521,524,649,838,1018,Pike County,10895,AR
166,490,493,649,802,894,Poinsett County,24100,AR
167,441,505,664,821,1048,Polk County,20210,AR
168,458,539,690,975,1020,Pope County,63370,AR
169,487,500,658,813,941,Prairie County,8310,AR
170,706,728,833,1118,1330,Pulaski County,392850,AR
171,542,545,649,873,1111,Randolph County,17515,AR
172,505,508,649,922,1016,St. Francis County,26690,AR
173,706,728,833,1118,1330,Saline County,116250,AR
174,481,493,649,811,928,Scott County,10585,AR
175,481,497,649,852,928,Searcy County,7925,AR
176,559,562,740,1031,1165,Sebastian County,127360,AR
177,481,570,649,843,909,Sevier County,17205,AR
178,471,511,649,802,1001,Sharp County,17040,AR
179,481,493,649,893,928,Stone County,12445,AR
180,586,594,680,966,1035,Union County,40020,AR
181,461,517,680,841,922,Van Buren County,16750,AR
182,658,695,865,1229,1481,Washington County,223685,AR
183,448,538,675,926,1155,White County,78705,AR
184,481,493,649,814,928,Woodruff County,6765,AR
185,533,536,649,865,939,Yell County,21600,AR
186,1538,1854,2274,3006,3578,Alameda County,1629615,CA
187,725,822,1073,1524,1705,Alpine County,1205,CA
188,920,926,1148,1631,1965,Amador County,37305,CA
189,826,895,1177,1662,2015,Butte County,225205,CA
190,739,857,1094,1554,1785,Calaveras County,45055,CA
191,713,717,944,1341,1506,Colusa County,21480,CA
192,1538,1854,2274,3006,3578,Contra Costa County,1123680,CA
193,651,831,980,1355,1677,Del Norte County,27440,CA
194,1108,1228,1543,2192,2625,El Dorado County,185015,CA
195,899,904,1137,1607,1847,Fresno County,971615,CA
196,627,717,944,1167,1280,Glenn County,27935,CA
197,741,862,1112,1580,1903,Humboldt County,135490,CA
198,716,815,1065,1486,1793,Imperial County,179955,CA
199,754,874,1077,1530,1712,Inyo County,18195,CA
200,763,772,1013,1439,1734,Kern County,878745,CA
201,924,930,1162,1651,1799,Kings County,150185,CA
202,678,776,1021,1450,1544,Lake County,64095,CA
203,623,712,937,1331,1372,Lassen County,31470,CA
204,1384,1604,2044,2693,2933,Los Angeles County,10105720,CA
205,913,919,1198,1702,1870,Madera County,154440,CA
206,2115,2631,3198,4111,4473,Marin County,260815,CA
207,718,808,1063,1423,1819,Mariposa County,17660,CA
208,945,954,1245,1729,2131,Mendocino County,87495,CA
209,766,914,1120,1591,1917,Merced County,267390,CA
210,605,609,801,1047,1273,Modoc County,9015,CA
211,1009,1045,1319,1829,2096,Mono County,14060,CA
212,1533,1616,1967,2794,3081,Monterey County,433170,CA
213,1438,1645,2164,2924,2935,Napa County,141005,CA
214,921,993,1307,1857,2037,Nevada County,98840,CA
215,1716,1905,2324,3178,3674,Orange County,3155815,CA
216,1108,1228,1543,2192,2625,Placer County,374985,CA
217,608,716,915,1300,1566,Plumas County,18725,CA
218,1062,1202,1509,2065,2542,Riverside County,2355000,CA
219,1108,1228,1543,2192,2625,Sacramento County,1495400,CA
220,1096,1253,1649,2342,2822,San Benito County,58670,CA
221,1062,1202,1509,2065,2542,San Bernardino County,2121220,CA
222,1394,1542,1979,2748,3365,San Diego County,3283665,CA
223,2115,2631,3198,4111,4473,San Francisco County,864265,CA
224,891,992,1305,1854,2234,San Joaquin County,724155,CA
225,1308,1436,1890,2685,3047,San Luis Obispo County,280120,CA
226,2115,2631,3198,4111,4473,San Mateo County,763450,CA
227,1847,2124,2478,3266,3733,Santa Barbara County,442995,CA
228,2145,2418,2868,3687,4213,Santa Clara County,1911225,CA
229,2085,2385,3138,4000,4458,Santa Cruz County,273265,CA
230,834,954,1255,1783,2148,Shasta County,178920,CA
231,754,855,1114,1593,1767,Sierra County,2885,CA
232,682,701,922,1310,1358,Siskiyou County,43530,CA
233,1232,1408,1677,2382,2870,Solano County,434980,CA
234,1373,1549,2038,2851,3163,Sonoma County,500945,CA
235,936,1001,1250,1761,2063,Stanislaus County,535685,CA
236,920,926,1173,1666,2008,Sutter County,95585,CA
237,682,722,950,1270,1495,Tehama County,63245,CA
238,592,670,877,1246,1394,Trinity County,13035,CA
239,746,764,1005,1405,1629,Tulare County,458810,CA
240,752,860,1132,1556,1938,Tuolumne County,53900,CA
241,1507,1792,2218,3101,3655,Ventura County,847835,CA
242,1212,1280,1684,2353,2843,Yolo County,212605,CA
243,920,926,1173,1666,2008,Yuba County,74645,CA
244,1236,1364,1659,2226,2501,Adams County,487850,CO
245,731,736,968,1210,1657,Alamosa County,16345,CO
246,1236,1364,1659,2226,2501,Arapahoe County,626610,CO
247,881,901,1185,1529,2028,Archuleta County,12590,CO
248,602,606,757,1075,1216,Baca County,3580,CO
249,686,690,877,1084,1189,Bent County,5805,CO
250,1284,1449,1748,2352,2786,Boulder County,316780,CO
251,1236,1364,1659,2226,2501,Broomfield County,64285,CO
252,714,943,1074,1360,1725,Chaffee County,18820,CO
253,572,575,757,1075,1216,Cheyenne County,2125,CO
254,1236,1364,1659,2226,2501,Clear Creek County,9255,CO
255,612,616,811,1065,1105,Conejos County,8145,CO
256,722,727,908,1122,1458,Costilla County,3630,CO
257,754,759,948,1281,1286,Crowley County,5515,CO
258,747,752,990,1224,1590,Custer County,4505,CO
259,820,825,1086,1391,1473,Delta County,30215,CO
260,1236,1364,1659,2226,2501,Denver County,678465,CO
261,727,731,914,1298,1468,Dolores County,1735,CO
262,1236,1364,1659,2226,2501,Douglas County,320940,CO
263,1292,1477,1944,2403,2636,Eagle County,53725,CO
264,1236,1364,1659,2226,2501,Elbert County,24555,CO
265,885,1033,1302,1849,2229,El Paso County,674825,CO
266,769,774,1019,1447,1533,Fremont County,46600,CO
267,1094,1101,1387,1865,2374,Garfield County,57945,CO
268,1236,1364,1659,2226,2501,Gilpin County,5795,CO
269,850,1076,1279,1610,2189,Grand County,14795,CO
270,934,940,1198,1700,2050,Gunnison County,16215,CO
271,791,818,932,1244,1497,Hinsdale County,820,CO
272,739,744,979,1210,1572,Huerfano County,6500,CO
273,717,721,882,1196,1387,Jackson County,1370,CO
274,1236,1364,1659,2226,2501,Jefferson County,564030,CO
275,681,686,857,1059,1376,Kiowa County,1370,CO
276,754,759,999,1249,1604,Kit Carson County,7845,CO
277,813,841,958,1361,1539,Lake County,7480,CO
278,1132,1240,1413,1966,2346,La Plata County,54470,CO
279,1084,1143,1421,2019,2419,Larimer County,330975,CO
280,653,747,983,1349,1484,Las Animas County,14150,CO
281,786,791,989,1242,1693,Lincoln County,5520,CO
282,735,739,973,1382,1504,Logan County,21885,CO
283,682,781,1026,1457,1756,Mesa County,148800,CO
284,902,907,1134,1513,1821,Mineral County,835,CO
285,767,772,1016,1256,1378,Moffat County,13055,CO
286,765,812,1068,1320,1574,Montezuma County,25770,CO
287,772,777,1022,1452,1548,Montrose County,40910,CO
288,715,788,1037,1373,1617,Morgan County,28125,CO
289,703,708,931,1186,1515,Otero County,18325,CO
290,1169,1176,1548,1914,2294,Ouray County,4655,CO
291,1236,1364,1659,2226,2501,Park County,16900,CO
292,774,779,973,1230,1319,Phillips County,4325,CO
293,1230,1435,1851,2576,2841,Pitkin County,17745,CO
294,687,692,906,1120,1437,Prowers County,12085,CO
295,783,800,1052,1377,1638,Pueblo County,163370,CO
296,751,756,995,1302,1349,Rio Blanco County,6555,CO
297,689,693,866,1230,1391,Rio Grande County,11430,CO
298,1210,1218,1602,1980,2742,Routt County,24360,CO
299,676,681,896,1108,1215,Saguache County,6340,CO
300,902,907,1134,1513,1821,San Juan County,570,CO
301,1112,1296,1673,2137,2687,San Miguel County,7805,CO
302,642,664,757,936,1296,Sedgwick County,2355,CO
303,1340,1577,1797,2553,2886,Summit County,29720,CO
304,817,962,1229,1746,2104,Teller County,23770,CO
305,808,836,952,1177,1291,Washington County,4810,CO
306,897,990,1272,1801,2022,Weld County,285730,CO
307,763,768,1011,1338,1371,Yuma County,10110,CO
308,1203,1412,1810,2291,2487,Fairfield County,19525,CT
309,911,1101,1371,1765,2094,Fairfield County,147585,CT
310,1203,1412,1810,2291,2487,Fairfield County,17065,CT
311,1203,1412,1810,2291,2487,Fairfield County,84575,CT
312,1520,1855,2230,2757,3056,Fairfield County,21740,CT
313,911,1101,1371,1765,2094,Fairfield County,7605,CT
314,911,1101,1371,1765,2094,Fairfield County,61610,CT
315,1520,1855,2230,2757,3056,Fairfield County,62780,CT
316,911,1101,1371,1765,2094,Fairfield County,19765,CT
317,1520,1855,2230,2757,3056,Fairfield County,20355,CT
318,1203,1412,1810,2291,2487,Fairfield County,14090,CT
319,1203,1412,1810,2291,2487,Fairfield County,28030,CT
320,1520,1855,2230,2757,3056,Fairfield County,88535,CT
321,1203,1412,1810,2291,2487,Fairfield County,9275,CT
322,1203,1412,1810,2291,2487,Fairfield County,25205,CT
323,911,1101,1371,1765,2094,Fairfield County,41280,CT
324,1203,1412,1810,2291,2487,Fairfield County,3655,CT
325,1520,1855,2230,2757,3056,Fairfield County,128850,CT
326,911,1101,1371,1765,2094,Fairfield County,52530,CT
327,911,1101,1371,1765,2094,Fairfield County,36455,CT
328,1520,1855,2230,2757,3056,Fairfield County,10370,CT
329,1520,1855,2230,2757,3056,Fairfield County,27775,CT
330,1520,1855,2230,2757,3056,Fairfield County,18660,CT
331,865,1054,1302,1609,1907,Hartford County,18380,CT
332,865,1054,1302,1609,1907,Hartford County,20585,CT
333,865,1054,1302,1609,1907,Hartford County,20850,CT
334,865,1054,1302,1609,1907,Hartford County,60500,CT
335,865,1054,1302,1609,1907,Hartford County,9600,CT
336,865,1054,1302,1609,1907,Hartford County,10340,CT
337,865,1054,1302,1609,1907,Hartford County,5220,CT
338,865,1054,1302,1609,1907,Hartford County,50810,CT
339,865,1054,1302,1609,1907,Hartford County,11410,CT
340,865,1054,1302,1609,1907,Hartford County,44610,CT
341,865,1054,1302,1609,1907,Hartford County,25595,CT
342,865,1054,1302,1609,1907,Hartford County,34690,CT
343,865,1054,1302,1609,1907,Hartford County,11325,CT
344,865,1054,1302,1609,1907,Hartford County,124390,CT
345,865,1054,1302,1609,1907,Hartford County,2085,CT
346,865,1054,1302,1609,1907,Hartford County,58170,CT
347,865,1054,1302,1609,1907,Hartford County,6420,CT
348,865,1054,1302,1609,1907,Hartford County,73070,CT
349,865,1054,1302,1609,1907,Hartford County,30605,CT
350,865,1054,1302,1609,1907,Hartford County,17805,CT
351,865,1054,1302,1609,1907,Hartford County,20015,CT
352,865,1054,1302,1609,1907,Hartford County,24305,CT
353,865,1054,1302,1609,1907,Hartford County,43815,CT
354,865,1054,1302,1609,1907,Hartford County,25800,CT
355,865,1054,1302,1609,1907,Hartford County,15675,CT
356,865,1054,1302,1609,1907,Hartford County,63360,CT
357,865,1054,1302,1609,1907,Hartford County,26395,CT
358,865,1054,1302,1609,1907,Hartford County,29035,CT
359,865,1054,1302,1609,1907,Hartford County,12565,CT
360,850,981,1280,1582,1736,Litchfield County,3695,CT
361,850,981,1280,1582,1736,Litchfield County,3490,CT
362,850,981,1280,1582,1736,Litchfield County,1680,CT
363,850,981,1280,1582,1736,Litchfield County,1130,CT
364,850,981,1280,1582,1736,Litchfield County,1470,CT
365,850,981,1280,1582,1736,Litchfield County,1365,CT
366,850,981,1280,1582,1736,Litchfield County,2915,CT
367,850,981,1280,1582,1736,Litchfield County,5525,CT
368,850,981,1280,1582,1736,Litchfield County,2855,CT
369,850,981,1280,1582,1736,Litchfield County,8250,CT
370,850,981,1280,1582,1736,Litchfield County,2365,CT
371,850,981,1280,1582,1736,Litchfield County,6795,CT
372,850,981,1280,1582,1736,Litchfield County,27380,CT
373,850,981,1280,1582,1736,Litchfield County,1440,CT
374,850,981,1280,1582,1736,Litchfield County,3330,CT
375,850,981,1280,1582,1736,Litchfield County,11890,CT
376,850,981,1280,1582,1736,Litchfield County,2230,CT
377,850,981,1280,1582,1736,Litchfield County,3660,CT
378,850,981,1280,1582,1736,Litchfield County,2735,CT
379,850,981,1280,1582,1736,Litchfield County,7670,CT
380,850,981,1280,1582,1736,Litchfield County,35080,CT
381,850,981,1280,1582,1736,Litchfield County,1465,CT
382,850,981,1280,1582,1736,Litchfield County,3490,CT
383,850,981,1280,1582,1736,Litchfield County,21975,CT
384,850,981,1280,1582,1736,Litchfield County,10895,CT
385,850,981,1280,1582,1736,Litchfield County,9685,CT
386,865,1054,1302,1609,1907,Middlesex County,4285,CT
387,957,1101,1441,2047,2466,Middlesex County,13040,CT
388,865,1054,1302,1609,1907,Middlesex County,14020,CT
389,957,1101,1441,2047,2466,Middlesex County,4545,CT
390,865,1054,1302,1609,1907,Middlesex County,7290,CT
391,865,1054,1302,1609,1907,Middlesex County,9070,CT
392,865,1054,1302,1609,1907,Middlesex County,12890,CT
393,957,1101,1441,2047,2466,Middlesex County,6590,CT
394,865,1054,1302,1609,1907,Middlesex County,8305,CT
395,957,1101,1441,2047,2466,Middlesex County,6440,CT
396,865,1054,1302,1609,1907,Middlesex County,4400,CT
397,865,1054,1302,1609,1907,Middlesex County,46745,CT
398,957,1101,1441,2047,2466,Middlesex County,10160,CT
399,865,1054,1302,1609,1907,Middlesex County,9390,CT
400,957,1101,1441,2047,2466,Middlesex County,6925,CT
401,967,1224,1456,1800,2492,New Haven County,18955,CT
402,967,1224,1456,1800,2492,New Haven County,6110,CT
403,1048,1186,1447,1789,1995,New Haven County,5525,CT
404,1048,1186,1447,1789,1995,New Haven County,28150,CT
405,1048,1186,1447,1789,1995,New Haven County,29275,CT
406,967,1224,1456,1800,2492,New Haven County,12700,CT
407,1048,1186,1447,1789,1995,New Haven County,29005,CT
408,1048,1186,1447,1789,1995,New Haven County,22375,CT
409,1048,1186,1447,1789,1995,New Haven County,61495,CT
410,1048,1186,1447,1789,1995,New Haven County,18245,CT
411,1048,1186,1447,1789,1995,New Haven County,60240,CT
412,791,960,1190,1485,1749,New Haven County,7660,CT
413,967,1224,1456,1800,2492,New Haven County,53865,CT
414,791,960,1190,1485,1749,New Haven County,31650,CT
415,1048,1186,1447,1789,1995,New Haven County,130885,CT
416,1048,1186,1447,1789,1995,New Haven County,14275,CT
417,1048,1186,1447,1789,1995,New Haven County,23875,CT
418,1048,1186,1447,1789,1995,New Haven County,13980,CT
419,967,1224,1456,1800,2492,New Haven County,12970,CT
420,791,960,1190,1485,1749,New Haven County,9750,CT
421,967,1224,1456,1800,2492,New Haven County,16580,CT
422,791,960,1190,1485,1749,New Haven County,19675,CT
423,1048,1186,1447,1789,1995,New Haven County,44990,CT
424,791,960,1190,1485,1749,New Haven County,109250,CT
425,1048,1186,1447,1789,1995,New Haven County,55045,CT
426,791,960,1190,1485,1749,New Haven County,16695,CT
427,1048,1186,1447,1789,1995,New Haven County,8905,CT
428,833,1006,1254,1616,2102,New London County,2585,CT
429,876,1035,1318,1869,2256,New London County,16015,CT
430,833,1006,1254,1616,2102,New London County,18885,CT
431,833,1006,1254,1616,2102,New London County,1910,CT
432,833,1006,1254,1616,2102,New London County,11790,CT
433,833,1006,1254,1616,2102,New London County,39490,CT
434,876,1035,1318,1869,2256,New London County,7240,CT
435,833,1006,1254,1616,2102,New London County,14925,CT
436,833,1006,1254,1616,2102,New London County,4300,CT
437,833,1006,1254,1616,2102,New London County,2425,CT
438,833,1006,1254,1616,2102,New London County,19385,CT
439,833,1006,1254,1616,2102,New London County,27145,CT
440,833,1006,1254,1616,2102,New London County,5255,CT
441,833,1006,1254,1616,2102,New London County,39875,CT
442,833,1006,1254,1616,2102,New London County,7495,CT
443,833,1006,1254,1616,2102,New London County,4695,CT
444,833,1006,1254,1616,2102,New London County,4160,CT
445,833,1006,1254,1616,2102,New London County,2940,CT
446,833,1006,1254,1616,2102,New London County,18485,CT
447,833,1006,1254,1616,2102,New London County,2570,CT
448,833,1006,1254,1616,2102,New London County,19200,CT
449,865,1054,1302,1609,1907,Tolland County,3180,CT
450,865,1054,1302,1609,1907,Tolland County,4945,CT
451,865,1054,1302,1609,1907,Tolland County,5440,CT
452,865,1054,1302,1609,1907,Tolland County,12460,CT
453,865,1054,1302,1609,1907,Tolland County,15950,CT
454,865,1054,1302,1609,1907,Tolland County,9550,CT
455,865,1054,1302,1609,1907,Tolland County,26020,CT
456,865,1054,1302,1609,1907,Tolland County,11285,CT
457,865,1054,1302,1609,1907,Tolland County,11900,CT
458,865,1054,1302,1609,1907,Tolland County,14840,CT
459,865,1054,1302,1609,1907,Tolland County,930,CT
460,865,1054,1302,1609,1907,Tolland County,29180,CT
461,865,1054,1302,1609,1907,Tolland County,5915,CT
462,848,854,1110,1388,1875,Windham County,4255,CT
463,848,854,1110,1388,1875,Windham County,8230,CT
464,848,854,1110,1388,1875,Windham County,5075,CT
465,848,854,1110,1388,1875,Windham County,2365,CT
466,848,854,1110,1388,1875,Windham County,1640,CT
467,848,854,1110,1388,1875,Windham County,1830,CT
468,848,854,1110,1388,1875,Windham County,17160,CT
469,848,854,1110,1388,1875,Windham County,15140,CT
470,848,854,1110,1388,1875,Windham County,4185,CT
471,848,854,1110,1388,1875,Windham County,9395,CT
472,848,854,1110,1388,1875,Windham County,1690,CT
473,848,854,1110,1388,1875,Windham County,3750,CT
474,848,854,1110,1388,1875,Windham County,9300,CT
475,848,854,1110,1388,1875,Windham County,24840,CT
476,848,854,1110,1388,1875,Windham County,7825,CT
477,851,856,1002,1423,1647,Kent County,173145,DE
478,940,1071,1298,1605,1837,New Castle County,555035,DE
479,651,733,964,1289,1515,Sussex County,215550,DE
480,1539,1567,1785,2260,2713,District of Columbia,672390,DC
481,784,864,1038,1369,1408,Alachua County,259865,FL
482,565,617,812,1091,1390,Baker County,27535,FL
483,903,1010,1170,1613,1983,Bay County,180115,FL
484,654,665,758,1077,1297,Bradford County,26775,FL
485,815,984,1196,1596,1921,Brevard County,568185,FL
486,1127,1240,1556,2207,2663,Broward County,1890415,FL
487,653,664,757,1075,1076,Calhoun County,14460,FL
488,832,928,1142,1622,1955,Charlotte County,173235,FL
489,695,717,943,1316,1614,Citrus County,141375,FL
490,827,995,1188,1542,1948,Clay County,203290,FL
491,1106,1295,1583,2078,2153,Collier County,356775,FL
492,614,663,873,1105,1184,Columbia County,68485,FL
493,653,664,757,1023,1027,DeSoto County,35675,FL
494,653,664,757,1031,1176,Dixie County,16325,FL
495,827,995,1188,1542,1948,Duval County,912045,FL
496,844,877,1012,1424,1732,Escambia County,309925,FL
497,800,925,1193,1575,1809,Flagler County,105015,FL
498,653,664,757,1075,1296,Franklin County,11675,FL
499,837,941,1124,1470,1596,Gadsden County,46115,FL
500,784,864,1038,1369,1408,Gilchrist County,17190,FL
501,702,706,821,1015,1167,Glades County,13195,FL
502,775,780,1026,1268,1716,Gulf County,16020,FL
503,572,575,757,1075,1144,Hamilton County,14240,FL
504,591,595,783,971,1202,Hardee County,27325,FL
505,653,664,757,1075,1244,Hendry County,39065,FL
506,1044,1110,1347,1732,2133,Hernando County,179145,FL
507,642,709,933,1178,1329,Highlands County,100175,FL
508,1044,1110,1347,1732,2133,Hillsborough County,1351085,FL
509,581,585,757,985,1296,Holmes County,19485,FL
510,754,941,1135,1480,1889,Indian River County,147980,FL
