,Year,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,acs_2019_2,State,fmr_type,fmr_pct_chg,fmr_dollar_chg
75,2020,742,813,1057,1457,1573,Haines Borough,2535,1012,AK,40,0.0444664,45
76,2020,644,869,989,1332,1340,Hoonah-Angoon Census Area,2145,866,AK,40,0.142032333,123
77,2020,966,1154,1482,2132,2602,Juneau City and Borough,32435,1457,AK,40,0.0171585,25
78,2020,896,905,1192,1604,1723,Kenai Peninsula Borough,57960,1139,AK,40,0.046532,53
79,2020,921,1074,1414,1917,2455,Ketchikan Gateway Borough,13745,1330,AK,40,0.063157895,84
80,2020,1019,1087,1432,2066,2074,Kodiak Island Borough,13775,1222,AK,40,0.171849427,210
81,2020,662,732,943,1175,1277,Kusilvak Census Area,8130,931,AK,40,0.0128894,12
82,2020,637,726,907,1194,1592,Lake and Peninsula Borough,1300,892,AK,40,0.0168161,15
83,2020,741,792,1043,1505,1831,Matanuska-Susitna Borough,101135,1078,AK,40,-0.032468,-35
84,2020,1281,1398,1685,2100,2283,Nome Census Area,9870,1599,AK,40,0.0537836,86
85,2020,1111,1190,1482,1847,2008,North Slope Borough,9755,1328,AK,40,0.115963855,154
86,2020,1205,1213,1412,1906,1913,Northwest Arctic Borough,7715,1326,AK,40,0.064856712,86
87,2020,767,957,1177,1467,1860,Petersburg Borough,3275,1108,AK,40,0.0622744,69
88,2020,810,847,1115,1389,1510,Prince of Wales-Hyder Census Area,6475,1071,AK,40,0.0410831,44
89,2020,950,1085,1293,1846,2233,Sitka City and Borough,8810,1253,AK,40,0.0319234,40
90,2020,995,1177,1380,1797,2054,Skagway Municipality,1040,1357,AK,40,0.0169492,23
91,2020,911,1102,1297,1871,1951,Southeast Fairbanks Census Area,6890,1234,AK,40,0.0510535,63
92,2020,809,1090,1241,1546,1847,Valdez-Cordova Census Area,9440,1222,AK,40,0.0155483,19
93,2020,764,766,1009,1307,1502,Wrangell City and Borough,2475,989,AK,40,0.0202224,20
94,2020,863,933,1229,1532,1829,Yakutat City and Borough,680,1175,AK,40,0.0459574,54
95,2020,573,717,816,1177,1433,Yukon-Koyukuk Census Area,5455,780,AK,40,0.0461538,36
96,2020,502,589,723,980,1117,Apache County,71600,722,AZ,40,0.00138504,1
97,2020,654,658,857,1236,1505,Cochise County,126515,823,AZ,40,0.0413123,34
98,2020,964,1024,1266,1653,2003,Coconino County,138640,1237,AZ,40,0.0234438,29
99,2020,697,700,922,1244,1249,Gila County,53145,889,AZ,40,0.0371204,33
100,2020,590,727,853,1231,1362,Graham County,37700,840,AZ,40,0.0154762,13
101,2020,494,627,714,937,1036,Greenlee County,9370,716,AZ,40,-0.0027933,-2
102,2020,593,651,857,1162,1212,La Paz County,20475,823,AZ,40,0.0413123,34
103,2020,847,958,1173,1676,1916,Maricopa County,4155500,1073,AZ,40,0.093196645,100
104,2020,630,698,871,1256,1385,Mohave County,204690,776,AZ,40,0.12242268,95
105,2020,585,618,802,1087,1162,Navajo County,107900,796,AZ,40,0.00753769,6
106,2020,618,721,949,1369,1618,Pima County,1007255,903,AZ,40,0.0509413,46
107,2020,847,958,1173,1676,1916,Pinal County,405535,1073,AZ,40,0.093196645,100
108,2020,533,571,752,1015,1019,Santa Cruz County,46360,749,AZ,40,0.00400534,3
109,2020,714,781,1026,1438,1501,Yavapai County,220970,958,AZ,40,0.070981211,68
110,2020,572,621,816,1177,1433,Yuma County,204280,798,AZ,40,0.0225564,18
111,2020,468,487,642,847,907,Arkansas County,18350,650,AR,40,-0.012308,-8
112,2020,459,543,630,853,853,Ashley County,20770,650,AR,40,-0.030769,-20
113,2020,478,531,699,871,947,Baxter County,41095,715,AR,40,-0.022378,-16
114,2020,584,630,807,1149,1417,Benton County,251825,758,AR,40,0.064643799,49
