,State,Year,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,Population,acs_2019_2,fmr_type,fmr_pct_chg,fmr_dollar_chg,acs_2017_2
15,ID,2020,564.14,616.55,793.18,1096.41,1286.07,37667.73,751.18,40.0,0.06,42.0,
16,IL,2020,556.46,624.45,787.39,1032.55,1162.66,126024.75,787.48,40.0,-0.0,-0.09,
17,IN,2020,548.98,620.01,782.26,1027.09,1165.18,71895.92,763.93,40.0,0.03,18.33,
18,KS,2020,544.69,589.22,751.57,992.03,1125.45,27655.05,717.98,40.0,0.05,33.59,
19,KY,2020,498.11,555.71,699.27,928.77,1051.06,36869.58,688.52,40.0,0.02,10.75,
20,LA,2020,617.31,672.39,819.53,1073.17,1227.75,72866.56,780.09,40.0,0.06,39.44,
21,MA,2020,1148.95,1273.2,1588.45,1995.07,2195.81,19342.65,1518.93,40.0,0.04,69.52,
22,MD,2020,908.96,1023.42,1242.67,1637.38,1946.5,249836.25,1237.46,40.0,-0.0,5.21,
23,ME,2020,640.04,684.79,849.23,1108.35,1262.51,2495.55,887.16,40.0,-0.05,-37.93,
24,MI,2020,547.04,614.18,772.71,1017.24,1127.4,119585.06,767.99,40.0,0.01,4.72,
25,MN,2020,561.55,645.71,823.03,1120.54,1272.45,63111.9,803.3,40.0,0.02,19.74,
26,MO,2020,484.99,547.94,701.63,935.17,1065.08,52381.93,707.89,40.0,-0.01,-6.26,
27,MP,2020,480.0,560.0,737.0,1063.0,1281.0,53883.0,712.0,40.0,0.04,25.0,
28,MS,2020,524.29,569.34,703.3,915.59,1043.02,36417.01,692.0,40.0,0.02,11.3,
29,MT,2020,560.79,635.57,809.02,1080.93,1286.3,18390.18,749.11,40.0,0.08,59.91,
30,NC,2020,633.14,651.65,799.12,1062.55,1282.35,100525.6,784.3,40.0,0.02,14.82,
31,ND,2020,596.25,613.94,765.62,1053.4,1201.57,14065.47,779.21,40.0,-0.01,-13.58,
32,NE,2020,480.46,568.65,723.62,946.4,1062.62,20364.84,738.09,40.0,-0.02,-14.46,
33,NH,2020,756.72,855.86,1088.85,1425.68,1686.89,5142.12,1096.97,40.0,-0.01,-8.12,
34,NJ,2020,1013.05,1185.43,1466.76,1875.05,2159.29,426673.81,1432.05,40.0,0.02,34.71,
35,NM,2020,603.61,649.61,801.91,1093.09,1296.24,63176.67,806.7,40.0,-0.0,-4.79,
36,NV,2020,610.06,710.47,904.65,1263.29,1454.06,169865.88,883.29,40.0,0.02,21.35,
37,NY,2020,805.92,885.6,1076.23,1378.45,1520.37,319326.37,1044.02,40.0,0.03,32.21,
38,OH,2020,539.84,603.52,760.55,992.42,1107.12,131929.15,746.15,40.0,0.02,14.4,
39,OK,2020,531.09,576.42,728.17,964.86,1103.22,50600.84,732.51,40.0,-0.01,-4.34,
40,OR,2020,718.53,820.28,1021.92,1451.14,1703.53,111808.75,935.36,40.0,0.1,86.56,
41,PA,2020,616.06,683.73,849.57,1098.52,1216.87,190902.76,851.64,40.0,0.0,-2.07,
42,PR,2020,379.08,402.26,466.58,623.72,743.97,44474.04,476.33,40.0,-0.02,-9.76,
43,RI,2020,811.92,911.15,1107.54,1415.23,1662.62,27080.9,1093.38,40.0,0.01,14.15,
44,SC,2020,610.11,657.37,788.39,1043.89,1230.91,106379.02,805.8,40.0,-0.02,-17.41,
45,SD,2020,512.21,582.94,748.3,992.06,1146.29,12961.21,734.65,40.0,0.02,13.65,
46,TN,2020,564.87,610.89,756.66,1002.17,1168.22,69446.21,729.19,40.0,0.04,27.47,
47,TX,2020,607.61,668.95,829.23,1105.57,1294.61,107951.22,822.41,40.0,0.01,6.81,
48,UT,2020,591.52,684.07,850.31,1164.0,1396.38,103238.97,815.24,40.0,0.04,35.07,
49,VA,2020,759.8,828.77,992.38,1322.64,1571.26,62902.14,976.44,40.0,0.02,15.95,
50,VI,2020,874.33,998.0,1236.67,1541.33,1675.33,36204.0,1205.33,40.0,0.03,31.33,
51,VT,2020,763.84,851.13,1049.7,1354.42,1494.23,2449.48,1023.58,40.0,0.03,26.13,
