State,Year,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,Population
AK,2021,850.97,951.28,1200.14,1582.72,1815.38,25467.93
AL,2021,548.28,591.99,725.82,949.51,1094.63,72399.63
AR,2021,515.95,553.85,697.31,920.29,1065.15,39706
AS,2021,590,594,783,1121,1201,55519
AZ,2021,698.13,767.93,970.13,1340.2,1493.53,453995.67
CA,2021,1061.22,1204.81,1525.86,2103.29,2437.24,672118.19
CO,2021,813.66,867.86,1088.31,1463.31,1699.22,84945.62
CT,2021,910.39,1079.43,1347.6,1701.49,2004.27,21269.02
DC,2021,1513,1548,1765,2263,2742,672390
DE,2021,806.33,893.33,1097,1466.33,1695.67,314576.67
FL,2021,771.01,835.19,1021.28,1357.61,1609.72,302663.51
GA,2021,631.99,658.4,792.7,1041.26,1228.91,64161.19
GU,2021,975,1068,1408,2015,2438,159358
HI,2021,1259.8,1405.4,1797.6,2479.8,2860.6,284332
IA,2021,540.67,593.13,759.59,1004.93,1115.38,31495.81
ID,2021,592.59,640.57,821.43,1146.09,1341.27,37667.73
IL,2021,570.9,638.09,801.46,1050,1181.43,126024.75
IN,2021,565.4,634.8,800.66,1047.91,1193.68,71895.92
KS,2021,563.03,592.66,756.75,994.91,1129.71,27655.05
KY,2021,527.16,582.07,733.27,972.33,1099.49,36869.58
LA,2021,633.95,693.34,844.09,1103.67,1260.27,72866.56
MA,2021,1183.78,1314.82,1642.08,2057.79,2276.96,19342.65
MD,2021,932.21,1035.92,1256.38,1659.62,1958.04,249836.25
ME,2021,665.32,723.77,909.05,1170.87,1354.85,2495.55
MI,2021,578.58,646.96,815.1,1066.64,1182.18,119585.06
MN,2021,580.21,662.83,842.22,1145.7,1304.34,63111.9
MO,2021,513.15,569.54,729.39,968.39,1107.24,52381.93
MP,2021,509,586,772,1105,1337,53883
MS,2021,552.76,589.71,727.13,940.56,1072.55,36417.01
MT,2021,587.62,654.43,831.21,1108.3,1300.45,18390.18
NC,2021,657.3,674.45,825.05,1089.86,1312.96,100525.6
ND,2021,606.23,621.72,780.74,1074.17,1212.72,14065.47
NE,2021,507.49,594.63,758.91,988.77,1101.81,20364.84
NH,2021,787.58,896.15,1141.77,1491.93,1770.98,5142.12
NJ,2021,1083.57,1257.14,1552.43,1980.1,2272.05,426673.81
NM,2021,639.27,682.55,842.12,1137.33,1351.48,63176.67
NV,2021,621.29,721.06,915.41,1272.65,1468.18,169865.88
NY,2021,846.08,922.31,1120.32,1432.94,1577.71,319326.37
OH,2021,570.95,633.11,796.74,1036.39,1151.12,131929.15
OK,2021,568.74,601.47,762.42,1004.62,1149.06,50600.84
OR,2021,743.94,843.47,1052.56,1485.14,1754.53,111808.75
PA,2021,643.28,705.9,877.78,1132.69,1258.16,190902.76
PR,2021,391.82,419.51,482.58,643.28,765.41,44474.04
RI,2021,867.85,968.85,1177.38,1498.08,1791.62,27080.9
SC,2021,653.09,685.83,824.24,1085.78,1283.22,106379.02
SD,2021,522.65,581.77,747.55,988.98,1159.89,12961.21
TN,2021,588.03,625.39,773.84,1022.08,1188.01,69446.21
TX,2021,634.2,699.19,864.83,1146.93,1333.85,107951.22
UT,2021,623.38,702.83,871.83,1182.31,1416.1,103238.97
VA,2021,781.27,841.64,1006.66,1335.37,1577.17,62902.14
VI,2021,913.67,1042.67,1292.33,1607.67,1752.33,36204
VT,2021,761.21,845.07,1046.09,1349.84,1479.12,2449.48
WA,2021,752.46,850.03,1069.54,1497.69,1763.9,183845.77
WI,2021,568.85,637.1,817.32,1075.15,1198.49,80044.65
WV,2021,567.15,599.02,732.49,962.02,1109.91,33397
WY,2021,640.09,676.7,842.09,1138.87,1412.91,25356.52
